Avenue,num,Building,Floors,Tenant
1,1,Square,85,Blue
2,1,Square,79,Blue
3,1,Square,73,Blue
4,1,Square,81,Blue
5,1,Square,75,Blue
6,1,Square,74,Blue
7,1,Square,81,Blue
8,1,Square,81,Blue
1,1,Square,80,Blue
2,1,Square,82,Blue
3,1,Square,80,Blue
4,1,Square,86,Blue
5,1,Square,84,Blue
6,1,Square,82,Blue
7,1,Square,79,Blue
8,1,Square,87,Blue
1,1,Square,48,Blue
2,1,Square,49,Blue
3,1,Square,47,Blue
4,1,Square,48,Blue
5,1,Square,47,Blue
6,1,Square,47,Blue
7,1,Square,43,Blue
8,1,Square,53,Blue
1,1,Square,78,Blue
2,1,Square,79,Blue
3,1,Square,76,Blue
4,1,Square,77,Blue
5,1,Square,86,Blue
6,1,Square,77,Blue
7,1,Square,80,Blue
8,1,Square,81,Blue
1,1,Square,38,Blue
2,1,Square,40,Blue
3,1,Square,43,Blue
4,1,Square,41,Blue
5,1,Square,42,Blue
6,1,Square,40,Blue
7,1,Square,48,Blue
8,1,Square,41,Blue
1,1,Square,73,Blue
2,1,Square,71,Blue
3,1,Square,69,Blue
4,1,Square,69,Blue
5,1,Square,78,Blue
6,1,Square,69,Blue
7,1,Square,74,Blue
8,1,Square,75,Blue
1,1,Square,32,Blue
2,1,Square,35,Blue
3,1,Square,33,Blue
4,1,Square,32,Blue
5,1,Square,34,Blue
6,1,Square,35,Blue
7,1,Square,34,Blue
8,1,Square,36,Blue
1,1,Square,29,Blue
2,1,Square,32,Blue
3,1,Square,32,Blue
4,1,Square,31,Blue
5,1,Square,31,Blue
6,1,Square,32,Blue
7,1,Square,29,Blue
8,1,Square,31,Blue
1,1,Square,43,Blue
2,1,Square,43,Blue
3,1,Square,45,Blue
4,1,Square,43,Blue
5,1,Square,48,Blue
6,1,Square,42,Blue
7,1,Square,54,Blue
8,1,Square,44,Blue
1,1,Square,32,Blue
2,1,Square,32,Blue
3,1,Square,30,Blue
4,1,Square,29,Blue
5,1,Square,32,Blue
6,1,Square,43,Blue
7,1,Square,34,Blue
8,1,Square,35,Blue
1,1,Square,81,Blue
2,1,Square,72,Blue
3,1,Square,84,Blue
4,1,Square,82,Blue
5,1,Square,77,Blue
6,1,Square,81,Blue
7,1,Square,85,Blue
8,1,Square,58,Blue
1,1,Square,37,Blue
2,1,Square,37,Blue
3,1,Square,35,Blue
4,1,Square,38,Blue
5,1,Square,36,Blue
6,1,Square,36,Blue
7,1,Square,37,Blue
8,1,Square,40,Blue
1,1,Square,30,Blue
2,1,Square,28,Blue
3,1,Square,30,Blue
4,1,Square,31,Blue
5,1,Square,28,Blue
6,1,Square,29,Blue
7,1,Square,32,Blue
8,1,Square,29,Blue
1,1,Square,29,Blue
2,1,Square,31,Blue
3,1,Square,34,Blue
4,1,Square,31,Blue
5,1,Square,34,Blue
6,1,Square,29,Blue
7,1,Square,33,Blue
8,1,Square,34,Blue
1,1,Square,35,Blue
2,1,Square,40,Blue
3,1,Square,36,Blue
4,1,Square,34,Blue
5,1,Square,44,Blue
6,1,Square,36,Blue
7,1,Square,40,Blue
8,1,Square,38,Blue
1,1,Square,53,Blue
2,1,Square,49,Blue
3,1,Square,49,Blue
4,1,Square,48,Blue
5,1,Square,50,Blue
6,1,Square,46,Blue
7,1,Square,46,Blue
8,1,Square,51,Blue
1,1,Square,35,Blue
2,1,Square,34,Blue
3,1,Square,32,Blue
4,1,Square,31,Blue
5,1,Square,33,Blue
6,1,Square,32,Blue
7,1,Square,34,Blue
8,1,Square,35,Blue
1,1,Square,43,Blue
2,1,Square,40,Blue
3,1,Square,39,Blue
4,1,Square,48,Blue
5,1,Square,46,Blue
6,1,Square,47,Blue
7,1,Square,40,Blue
8,1,Square,50,Blue
1,1,Square,43,Blue
2,1,Square,44,Blue
3,1,Square,44,Blue
4,1,Square,48,Blue
5,1,Square,43,Blue
6,1,Square,47,Blue
7,1,Square,45,Blue
8,1,Square,44,Blue
1,1,Square,36,Blue
2,1,Square,35,Blue
3,1,Square,41,Blue
4,1,Square,32,Blue
5,1,Square,36,Blue
6,1,Square,32,Blue
7,1,Square,36,Blue
8,1,Square,34,Blue
1,1,Square,59,Blue
2,1,Square,49,Blue
3,1,Square,56,Blue
4,1,Square,65,Blue
5,1,Square,61,Blue
6,1,Square,69,Blue
7,1,Square,60,Blue
8,1,Square,45,Blue
1,1,Square,59,Blue
2,1,Square,56,Blue
3,1,Square,54,Blue
4,1,Square,57,Blue
5,1,Square,56,Blue
6,1,Square,60,Blue
7,1,Square,55,Blue
8,1,Square,64,Blue
1,1,Square,51,Blue
2,1,Square,59,Blue
3,1,Square,49,Blue
4,1,Square,58,Blue
5,1,Square,57,Blue
6,1,Square,61,Blue
7,1,Square,59,Blue
8,1,Square,64,Blue
1,1,Square,35,Blue
2,1,Square,30,Blue
3,1,Square,39,Blue
4,1,Square,31,Blue
5,1,Square,54,Blue
6,1,Square,31,Blue
7,1,Square,41,Blue
8,1,Square,32,Blue
1,1,Square,31,Blue
2,1,Square,31,Blue
3,1,Square,31,Blue
4,1,Square,31,Blue
5,1,Square,32,Blue
6,1,Square,31,Blue
7,1,Square,30,Blue
8,1,Square,32,Blue
1,1,Square,70,Blue
2,1,Square,77,Blue
3,1,Square,70,Blue
4,1,Square,71,Blue
5,1,Square,69,Blue
6,1,Square,70,Blue
7,1,Square,68,Blue
8,1,Square,91,Blue
1,1,Square,50,Blue
2,1,Square,52,Blue
3,1,Square,53,Blue
4,1,Square,47,Blue
5,1,Square,42,Blue
6,1,Square,57,Blue
7,1,Square,52,Blue
8,1,Square,43,Blue
1,1,Square,38,Blue
2,1,Square,37,Blue
3,1,Square,36,Blue
4,1,Square,35,Blue
5,1,Square,39,Blue
6,1,Square,36,Blue
7,1,Square,36,Blue
8,1,Square,39,Blue
1,1,Square,94,Blue
2,1,Square,94,Blue
3,1,Square,95,Blue
4,1,Square,96,Blue
5,1,Square,81,Blue
6,1,Square,98,Blue
7,1,Square,101,Blue
8,1,Square,73,Blue
1,1,Square,48,Blue
2,1,Square,48,Blue
3,1,Square,49,Blue
4,1,Square,43,Blue
5,1,Square,47,Blue
6,1,Square,48,Blue
7,1,Square,47,Blue
8,1,Square,50,Blue
1,1,Square,30,Blue
2,1,Square,30,Blue
3,1,Square,29,Blue
4,1,Square,30,Blue
5,1,Square,28,Blue
6,1,Square,31,Blue
7,1,Square,29,Blue
8,1,Square,29,Blue
1,1,Square,36,Blue
2,1,Square,32,Blue
3,1,Square,34,Blue
4,1,Square,32,Blue
5,1,Square,38,Blue
6,1,Square,34,Blue
7,1,Square,39,Blue
8,1,Square,35,Blue
1,1,Square,47,Blue
2,1,Square,50,Blue
3,1,Square,53,Blue
4,1,Square,53,Blue
5,1,Square,49,Blue
6,1,Square,58,Blue
7,1,Square,47,Blue
8,1,Square,46,Blue
1,1,Square,37,Blue
2,1,Square,36,Blue
3,1,Square,37,Blue
4,1,Square,36,Blue
5,1,Square,42,Blue
6,1,Square,36,Blue
7,1,Square,38,Blue
8,1,Square,39,Blue
1,1,Square,31,Blue
2,1,Square,30,Blue
3,1,Square,29,Blue
4,1,Square,30,Blue
5,1,Square,30,Blue
6,1,Square,30,Blue
7,1,Square,30,Blue
8,1,Square,29,Blue
1,1,Square,54,Blue
2,1,Square,54,Blue
3,1,Square,51,Blue
4,1,Square,46,Blue
5,1,Square,50,Blue
6,1,Square,49,Blue
7,1,Square,50,Blue
8,1,Square,52,Blue
1,1,Square,40,Blue
2,1,Square,41,Blue
